DO,pH,Temp 
8.9,7.2,15
6.8,6.8,21.5
6.8,6.8,21.5
8.5,7.5,22
7.8,7.6,25
7.7,7.9,26.5
7.7,8,25
8.8,8.3,28.5
8,,26
7,7.9,26
7,8,30
7.2,8.4,32
7.6,8.1,29.5
8.7,8.2,24
7.4,8.8,25
9.9,8.7,25.5
10.5,9,26
10.4,9.2,24.5
9.5,8.7,21
9.9,7.2,15.5
8.9,8.5,24.5
8.69,7.2,17.5
9.71,7.6,15
11.6,9,18.5
8.15,6.7,19
9.9,8.5,14
11.8,8.5,9.5
11.3,8.1,9.5
11.8,8.4,8
9.5,8.1,10
,,
11.7,7.4,4
11.2,7.2,4
10.8,7.1,5
8.7,7.1,10.5
11.5,7.4,3.5
,,
10.1,7,7.5
10,7.2,10
10.7,7.3,8
9.2,8.2,21
8.9,8,18
9.2,8.1,17
9,8.8,28
9.6,8.6,19
8.7,8.5,17
8,8.1,24
8.8,8.4,27
8,8.6,26.5
6.4,7.3,26
,7.6,28.5
4.65,7.3,27.5
2,7.4,25
2,,23.5
2,7.4,22
1.7,7.5,23
9.9,7.2,15.5
8.69,7.2,17.5
9.71,7.6,15
8.15,6.7,19
6.5,6.8,10.1
11.43,7.1,6.2
11.8,6.8,9.1
10.9,6.9,11
11.2,6.9,9.1
12.25,6.9,5.21
9.2,6.7,13.5
13.3,7,0
10.9,6.6,10.1
10.55,6.6,8.2
9.45,6.9,14.1
10.2,6.5,13.2
9.8,6.9,17.1
10.8,6.7,11
10.1,6.8,15.5
9.73,6.5,18
9.5,7.3,21
10.2,6.6,20.5
9.9,7.5,23
9.5,8,23
10.5,6.3,18
7.5,6.5,26.5
8.5,8,29
7.6,6.8,27
8.55,6.4,27
8.7,7.4,27.5
9.7,7.8,27
8.1,8,28
9.8,8.6,27.5
7.7,8.2,8.4
9,8.2,25.5
9.6,8.1,26
9.6,7.9,24
10.25,8.2,21.6
9.6,7.5,
10.6,6.5,12
14.3,6.9,6
12.3,6.4,8.9
12.5,6.5,8.1
10.7,6.3,10.5
11.1,6.4,11
10.8,6.9,17
10.9,8.2,21.5
9.3,6.8,23.5
10,7.2,22.9
9.7,6.8,26
8.4,6.9,26
8.6,7.3,29
11,8.8,28
10.8,8.5,25
10,6.9,14
10.9,7.3,15
2.6,7.7,26
1.6,8.7,31
1.35,8.2,28
5.65,7.3,20
6.7,7.6,18
4.7,8.2,
7.8,6.9,8
3.1,8.1,27
2.2,8.9,30
3.6,8.2,32
4.7,7,17
,7.7,
6.3,7.4,16
3.25,7.9,
6.1,6.9,7
1.9,8.5,27
1.9,8.8,27
2.4,8,34
3.7,7.8,18
5.5,6.6,19
3.7,7.7,43
10,7.8,17
4.3,7.9,
7.3,6.9,5
2.5,8.6,27
2.8,8,28
1.5,7.4,34.5
1.9,7.6,18
3.25,7.3,17
3.4,7.4,42.5
6.5,8,15
6.45,8.8,
7.8,8.9,11
8.25,8,5
11.2,7.2,9
11.2,6.7,15
1.8,9.5,27
7,9.2,28
3,9.1,29
1.9,8.5,28
4.8,5.7,16
4.3,8.6,24.5
7.5,8.1,14
8.7,9.1,11
6.1,7,5
,8,9
5,8.1,15
,7.5,14
,7,19
3.6,7.1,23
6.4,8.2,27
,7.8,15
,8,27
5.5,8,30.5
,8.1,31
6.1,8,25
,6.4,29
5.2,7.5,25
,8,21
5.8,,22
8.7,8.3,35
,8.7,21
9.75,8.2,16
,7.5,13
,8,7.5
9.9,8.2,9
6.4,7.1,5
,7.8,10
,7.8,14
10,7.8,12.5
,7,21
3.5,7.5,25.5
7.6,9.7,30
,8,15
,8.6,27
8.3,8.8,30
,7.6,31
1.8,7.5,24
,6.3,29
2.4,7.8,22
,7.9,21
7.6,7.9,20
8.5,8.5,30
,8.7,22
5.5,8.1,14
,7.8,14
,7.8,8
7.2,7.9,7.5
5.9,6.9,4
,7.6,9.9
,7.9,16
,8.6,14
,8.4,21
,7.8,
,9.3,27
7.9,8,15
8.2,9.5,28
,8.8,29
5.7,8.2,32
,8,25
6.3,6.7,29
,8.3,24
6.3,8.1,21
,8.1,21
,8.1,26
6.2,8.4,21.5
,8.3,15
6,7.4,13
6.5,8.1,7.5
,7.9,11
7.1,7.2,4
,8.5,9.5
6.9,7,14
,8.4,14
7.4,8.6,20
,7.6,19.5
,8.3,27
6.3,8.2,15
6.3,7.7,
,8.2,29
4.4,8.6,27
,8.1,25
4.1,5.6,28
,8.3,24
5,8.5,21
,8.6,20
,8.6,27
8.5,8.8,19.5
,8.8,14.5
6.2,9,13
10,9.3,7
,8.8,10
6.1,7.2,3
,7.5,10
9,7,
9.75,8.6,12
7.6,9.1,18
4.1,7.9,19.5
8,8.7,23
,,
7.3,8.4,26
7,8.5,26
5,8.6,27
6.4,8.2,25
6,8.1,28
7.1,8.7,22
5.2,8.6,20
5.5,,20
7.3,8.6,27
5.3,8.8,19.5
4.8,9.2,16
7.8,9.9,13
10,,7.5
9.4,8.8,9.5
,7.9,5
5.7,8.4,5
,8,11
8.1,7.8,10
7.7,8,13.5
,7.4,10
6.8,,22
,8.4,21
2.5,9.1,22
,8.2,24
5.5,8.7,24
,8.6,28
4.2,8.3,27
4.9,9.2,26
4.5,8.5,30
,7.9,27.5
3,0.3,26
3.6,8.9,24
,7.8,21
3.8,8.4,19
4.9,8.2,14
6.3,,12
6.3,8.1,18
,7.9,6
7.8,8,6
,7.8,10
9.3,7.7,12
8.1,7.8,
,7.7,9
6.5,,27
,8,22
3,8.7,25
,8.3,26
4.1,8.5,24
,8.3,29
3.9,8.1,
,,
2.3,8.3,30
,7.7,27
0,7.8,25
1.5,8.5,23
,7.7,23
2.6,8.2,20
4.2,8.3,13
5.3,,13
5.9,8.2,16
5.9,8.3,5
,8.3,4
6,7.9,10
,7.7,12
,7.8,13
9.9,8.3,9
,,23
4.8,8.1,23
,8.5,19.5
2.5,7.6,24
,8.3,23
4,8.4,27
,7.9,26
,,
,8.5,31
5.5,7.9,28
,7.9,25
,8.7,24
6.1,8.3,23
,8.2,20
,8.3,13
,,13
,8.3,19
9.7,8.8,6
,9.2,5
8.4,8.7,10
,8.6,14
,8.7,13
9.6,9,10
,,22
4.1,9.3,19.5
,8.7,19.5
4.9,8.1,23
,9.1,23
5.5,8.7,26
,8.9,26.5
,9.3,24
,9.3,31
4.3,8.9,27
,8.5,25
,8.9,23
3.9,8.7,19
,8.8,21
,9.1,11.5
,,14
,9.1,18
8.1,9.2,7
9,9.3,8
8.5,8.8,11
9.2,9.1,11
9.25,9.2,14
9.9,9.4,10
8.25,,21
6.4,9.3,20
5,8.6,21
7.8,8.8,20
4.35,9.2,23
5.1,8.6,25
5.4,8.7,26
7.2,9.8,23
4.1,9.1,30
4.9,8.7,26
4,8.5,25
4.6,7.7,23
4.2,,22
4.6,8.6,19
5.5,9.5,13
3.8,,15
,8.4,16
,7.7,7
2.7,7.8,9
,8.4,10
7.6,8.2,12
,,13
,7.5,28
2.3,7.5,22
,7.5,
,7,26
4.2,7,26
,7,
,7,
,7.5,
,7,
,7,
4.5,7,26
,7,
,6.5,
6.4,,10.5
,6.5,13
7.7,7,5
,7,7.5
,7.5,10
7.2,7.9,8
,8.2,12
7.8,8.2,12
,,12
4.2,8,27
3.4,8.5,18
,9,
,8.5,24
3.3,7,25
,7,
3.2,,
,7,
,7,
,9,
3.5,7.5,27
,8,
,6.5,
,7.5,14
,7,7.5
6.8,7,9.5
,7.9,8
8.4,8.2,12
,8.1,11
7.7,,11.5
,8,26
,8,22
5.7,8.5,
4.6,8,25
,8,25
3.8,8.5,28
,9,
3.3,7,
,7,
4.7,7,
,8.5,28
3.5,8,
6.7,7,
,7,10.3
5.8,7,18
,7,5
5.6,7,7.5
10,6.8,9
,8.9,9
8.3,9.6,11
,9.2,11
7.8,,12
,6,25
,6,21
3.9,,18
6.1,6.5,24
,6.5,25
4,6.5,
,6.5,
5,7,
,7.5,
1.2,,
,7,26.5
4.2,7,26
5.3,6.5,
,6.5,10.3
6.1,6.5,14
,6.5,48
5.2,6,6.5
7.5,6.9,
9,9,59
5.7,9.9,12
7.6,9.2,11
8.3,,12
4.4,7.5,25
7.3,7.5,18.5
8.3,7.5,20
4.5,7.5,24
5.9,8.5,23.5
5.1,7.5,27
3.5,8,
4.2,7.5,
4.2,7.5,
4,7.5,
6.5,7.5,27
4.5,7,
5,7,
6.3,7.5,10
8.1,7,12
9.6,7,5
6.8,7,7.5
8.1,6.5,15
,6.5,6
,6.5,7
,6.5,14
6.4,6.5,12
,5.5,17
3.9,6.5,23
,6.5,
4.7,6.5,24
,6.5,25
2.7,6.5,28
,7,29
3,6.5,25
,6.5,29
5.6,6.5,20
,,
2.9,6.5,24
,7.5,14
8.1,7,
,7,9
6.6,7,13
,7,6
6.4,7.5,7
,7.5,15
3.2,,12
,7.5,20
7.3,7.5,25
8.5,9.5,25.1
,7,26
3.6,,26
,7.5,28
3.2,7,25
,7.5,29
5.5,7,18
,8,11
4.7,7,25
,8,13.5
8.8,7.5,12
,7,9
,7,13
,7,6
,7,7
3.2,7,14
,7,12
5.6,7,18
,7,24
3.3,7,
,7,
4.5,7,24
,7.5,27
4.7,7,28
,7,25
4.7,7,27
,7,20
5.6,7.5,14
,7,24
7.6,7.5,
,7.5,13
6.8,7,8
,6.5,12
7.4,6,6
,6.5,7
8.7,6.5,
,6,12
6.8,,16
,6.5,25
5.8,6.5,
,6.5,25
4.3,6,25
,6,27
2.9,6.5,28
,6.5,25
4.7,6.5,28
,6.5,19
4.4,6.5,14
6.5,6.5,14.5
,6,11
7.1,6,12
5.1,7,14
6.6,7,7
,7,7
4.1,6.5,14
3.8,7,11
5.8,7,16
6.6,6.5,
6.3,6.5,20
6.8,6.5,
4.1,7,24
5.2,6.5,27
3.8,6.5,26
7,7.2,25
3.7,7,27
6,6.5,
5.8,6.5,14
6.5,6.5,23
8.8,6.5,14
8.7,6.5,11
6.9,6,8
8.5,7,5
,7,4
7,7,60
,7,8
7.5,7,16
,7,10
6.7,7,13
,7,
,7.5,22
3.9,6,26
,6.5,26
2.9,6.5,26
,6.5,29
,6.5,30
,6.5,30
3,6.5,27
,6.5,26
3.6,6.5,26
,0.7,24
,6.5,16
,7,16
8,7,10
,7,13
6.3,7,5
8.5,7,4
,8,3
6.6,7,5
,7,6.5
5.4,7,16
,7,9
7.2,8,13
,8,13
,8.5,22
3.1,9,28
,8,27
,7,26
,7,29
3.1,8,28.5
,7,32
2.8,6.5,28
,6.5,26
3.7,7,26
,8,23
4.5,7,17
,7,15
5.3,7,11
,7.5,13
5.7,7.5,4
,7,5
10,,3
,7,7
9.1,7,6
,7,17
6.7,7,10
,7,12
7.4,7.5,14
2.8,7,
,7,27
4.2,7.5,26
,7,25
3,7.5,29
,7,30
2.9,6.5,29
,6.5,28
3.6,7,
,7,27
5.3,7.5,23
,7,17
6.2,7,15
,7,11
4.2,7,12
,7,4
,6.5,5
10,6.5,4
,6,5
10.1,6.5,6
,6.5,18
8.4,6.5,
,6.5,12
5.8,6.5,14
4.9,6.5,19
,7,28
4.5,6.5,26
,6.5,
2.6,6.5,29
3.1,6.5,28
,6.5,29
3,6.5,25.2
,6.5,26
6.4,6.5,24
3.3,6.5,17
5.5,6.5,
,6.5,12
7.25,6.5,12
3,6.5,5
8.2,6.5,6
9.5,6.5,7
5.9,6.5,15.5
7.5,7,6
3.7,6.5,15
7.7,6.5,9
7.6,7,14
5.7,6.5,13
7.1,6.5,16
5.6,6.5,
4.8,6.5,26
3.3,6.5,25
4.7,6.5,27
3.1,6.5,27
3.15,6.5,27
4.75,6.5,26
5.2,6.5,24
4,6.5,24
4.3,7,23
5.8,6.5,18
5.9,6.5,14
5.9,6.5,11
6.3,6.5,11
5.2,6.5,4
,6.5,12
5.5,7,5
,7,10
6.2,7,5
,7,0.7
3.3,7,19
,7,17
4.7,7,20
,8,31
,7,30
2.2,6,28
,7,32
,7,27
4.2,7,
,6.5,26
3.4,6.5,24
,6.5,9
,7,14
,6.5,17
7,6.5,10
,7,13
6.7,7,34.5
,7,10
5.3,7,5
,7.5,7
5.4,8.5,20
,8,17
6,9,20
,9,35
,8,30
3.5,6,28
,7,31
,7.5,27
2.4,7,26
,6.5,27
4.5,7,25
,6.5,14
5.7,6.5,13
,6.5,17
6.1,7,13
4.3,7,13
,7,4.5
5.3,7,12
,7,5
6.9,7,6
,8,21
4.8,8,
,7.5,21
4.4,8,18
4.8,8.5,34
5.1,8.5,31
,6.5,32
5.2,7.5,32
3.6,7,25
,8,25
2.6,6.5,25
,6.5,25
5,7,14
,7.5,16
5,7,17
,7,12
7.6,6.5,13
,6.5,7.2
6.6,6.5,10
,6.5,6
7.7,6.5,6
,6.5,21
5.2,6.5,17
,6.5,
5,6.5,18
4.3,6.5,34
2.7,6.5,30
,7.5,30
4.3,6.5,32
2.9,6.5,31
2.5,,27
,6.5,24
3.9,6.5,26
,6.5,25
5.9,6.5,14
,6,16
5.9,6.5,17
,6.5,11
10,6.5,5
5.9,6,12
7.3,6.5,6
6.3,6.5,9
,6.5,5
7.4,6,6
5.2,6,19
6.9,6.5,15
6.3,6.5,20
6.6,6.5,18
5.4,7,30
4.3,6.5,27
3.6,6,25
5.7,6,28
3.7,6.5,27
4.9,6,25
5,6.5,74
4.3,6,25
5.3,6.5,24
6.2,6.5,16
5.7,6.5,14
6.6,6.5,18
7.2,6.5,11
7.6,6.5,6
,6,11
7.7,6.5,9
,6.5,9
8.6,7,7
,7,10
7.8,7,14
,7.5,17
,7,19
,7,21
,6.5,22
5,7,20
3.6,6.5,28
,7,31
2,6.5,28
,6.5,26
3.7,6.5,24
,6.5,21
6.3,,23
,7,21
,6.5,15
6,6.5,17
,6.5,15
7.8,,13
,7,11
5.7,7,8
,7,9
8.5,7,
,7,11
7.7,7,12
,8,17
8,7,18
,9,21
,6,22
4.4,7,26
3.8,6,23
4.7,6.5,27
,6.5,20
2.9,6.5,29
,9,30
3.5,6.5,25
,6.5,18
8.2,7,23
,7.5,22
,7,19
6.8,6.5,18
,7,16
7.7,6,15
5.9,7,10
,7,10
8.8,7,9
,7,7
9.9,7.5,10
,8,14
8.2,8,14
,7,18
9,8.5,19
,8,23
,9.5,29
,7,22
,7,28
2.7,6.5,26
,7,29
6.8,6.5,28
,6.5,24
5.2,6.5,20
,6.5,25
3.2,,
4.9,6.5,17
,6.5,18
6.9,6.5,14
,8,13
8.1,6.5,9
,6.5,10
8.2,,9
,6.5,7
8.7,6.5,10
,6.5,13
6.2,6.5,15
,6.5,18
6.6,6.5,19
,6.5,21
,6.5,28
,6.5,28
2.7,6.5,29
,6.5,30
3.9,5,25
,6,24
5.8,6.5,20
,6.5,22
5.3,6.5,20
5.9,6.5,13
,6.5,17
6.7,6.5,14.5
,6.5,13
0.8,6,9
7.5,6.5,9
7.8,6.5,7
8.7,6.5,7
9.7,6.5,10
7.5,7,11
7.7,6.5,13
6.9,6.5,17
7.4,6.5,19
7.3,6.5,20
6.1,6.5,25
6.8,6.5,22
6,6.5,27
5.3,6,27
6.9,6,28
7.2,7,25
6.3,7,23
6.3,7,19
7,7,22
0.1,7,18
7.6,6.5,11
7.7,6.5,18
6.3,6.5,14
8,6.5,13
,6.5,14
9.8,7,7
,7,5
8.8,7,5
,7,11
,7,15
,7,13
,6.5,19
,7,26
,6.5,23
,7.5,28
,7,30
3.7,7,30
,6.5,28
2.3,7,26
,7.5,25
,7,27
3.8,,23
,7,28
3.9,7,13
,6.5,5
,6.5,7
,7,13
6.8,7,6
,7,5
10,6.5,2
,6.5,10
9.4,6.5,14
,7,13
8.1,6.5,13
,6.5,19
5.9,8.5,23
,7.5,25
,7,23
3.1,7.5,25
,7,30
2.6,6.5,29
,6.5,28
,8.5,30
,8,26
,7.5,23
4.9,,23
,7,28
6.2,7,12
,7,5
,6.5,8
9.3,8,5
,7,4
7.7,7,
,7,15
8.4,7,15
,7.5,13
5.8,7.5,19
,8.5,24
,8.5,26
5.1,8,21
,7.5,26
4.3,6.7,
,9,30
4.5,7,28
,8.5,27
2,,25
4.3,7,21
,,23
5.3,7,28
,7.5,16
6.2,7,5
5.2,6.5,7
7.6,5,54
,6,7
10,6.5,5
,6.5,4
8.8,6,10
7.1,6,14
,6.5,12
5.9,6.5,20
,6.5,27
5.9,6.5,21
3.9,6.5,24
5.2,,29
,7.5,31
5.7,7,28
,8.5,28
4.1,8.5,26
3.3,7,22
,,23
5.9,7,28
,7,18
8.7,7,5
6.3,6,7
9,6.5,12
10.1,6.5,6
8.1,6.5,5
9.3,6.5,3
7.2,6.5,9
8.7,6.5,11
9.9,6.5,11
8.7,6.5,13
7.2,6.5,19
6.9,7,20
,6.5,24
8.8,6.5,20
,7.5,28
4.7,7,27
3.2,8,28
5.1,7.5,26
4.2,8.5,25
3.2,8,25
3.2,7,23
4.2,,21
3.7,7,28
4.1,7,13
6.8,7,5
6.3,7,6
,6.5,4
,6.5,6
,6.5,15
5.1,6.5,12
,6.5,4
4.8,6.5,15
,7,14
4,6.5,16
4.3,7,22
,8.2,28
5.2,7,27
,7,29
3.8,6.5,32
,6.5,29
,6.5,26
,,28
6.6,7,20
,6.5,21.5
,7,13
6.8,6.5,15
,6.5,8.5
,6.5,8
,6.5,10
,7,0
4.9,7,5
,7,15
6.2,,12
,7,5
6.9,8,13
,8.5,14
5.3,8.5,13
,6.5,22
5.2,7,22
,8,27
5.9,7.5,26
,7,28
2.8,7.5,30
,8.5,28
,7,26
,,28
3.9,7,20
,6.5,21
,7.5,11
7,7.5,15
,7,7
,,8
,7,11
,7,0
,7,5
4.3,7,16
,7,12
5.2,7,4
,8,14
6.5,7,13
2.3,7,20
,7,22
5.4,8,29
,8.5,27
5.1,7,29
,8,31
,7,28
5.5,8,5.5
3.1,7.5,28
,8,21
3.9,8,21
6.3,8,10
,7.5,15
6.3,7,8
7.1,6,8
6.4,7.5,10
,6.5,3
5.1,6.5,6
6.5,6.5,15
,6.5,12
8.1,6.5,4
,6.5,13
7,6.5,12
,6.5,25
2.2,6,20
,6.5,22
5,7,28
,6.5,25
4.6,7,27
,7.5,32
5,6.5,28
5.1,6.5,26
6,6.5,27
,7,20
6,6.5,21
8.1,6.5,12
,6.5,15
6,6.5,10
,6.5,7
6.4,6.5,11
,7,1
7.1,7,6
3,7,15
5.3,7,11
4,7,5
7.5,7,12
7.9,7,12
6.4,7,12
5.3,7,20
,7,19
4.9,7.2,26
6.2,7,24.5
7.3,8,26
5.6,8.5,28
6.6,8,26
5.9,8,23
4.5,6,25
3.7,8,20
5.3,7,20
7,7.5,11
5.9,7,20
9.3,7,9
6.6,7,7
5.6,6.5,12
,6.5,0.9
6.9,6.5,4
,6.5,2
5.2,6.5,10
,6.5,8
7.1,6.5,9
,7,15
3.7,6.5,19
,6.5,22
4.1,7,21
,7,27
4.2,7,16
,6.5,28
3.2,6.5,27
,6.5,30
3.5,6.5,29
,6.5,23
1.9,6.5,24
,6.5,20
6.3,6.5,14
5.9,,16
,6.5,15
6.4,6.5,12
,6.5,11
,6.5,8
8,7,4
,7,1
8,7,10
,7,8
8.6,7,9
,7.5,13
5.3,8,21
,7,22
4.8,9,20
,7,28
0.8,8.5,27
,7,27
1.8,7,25
,7.5,30
4.3,7.5,29
,7.5,21
1.1,6.5,24
,6.5,20
6.8,7,13
,7,17
,6.5,16
5.3,7,10
,6.5,10
5.9,6.5,8.5
,7,4
8.4,7,1
,7,11
7.5,6.5,8
,7,9
5.3,6.5,12
,8.5,20
6,,22
,8,20
3.9,9,28
,9,30
4.2,6.5,26
,7,26
2.5,,28
,7.5,29
4.6,7.5,22
4.2,7,21
,7,14.5
,7.5,17
5.3,6.5,16
,6.5,12
6.3,6.5,11
6.1,6.5,9
,6.5,4
9.7,6.5,2
,6.5,9
8,7,
,6.5,9
6.7,6.5,14
,6.5,18
5,7,23
,6.5,22
4,6.5,26
,6.5,27
4,6.5,26
,6.5,26
4.8,6.5,
,7.5,30
7.7,6,21
,6.5,23
3.8,6,20
,6.5,14
,6.5,16
6,6,15
,6,12
7.2,5.5,10
6.1,7,8.5
6.4,7,5
9.1,7,2
9,7,12
9,7,12
6.6,7,9
7.5,7,15
6.3,7,
6.9,7,21
8.1,8.5,19
5.8,8.5,24
6.6,9,24
5.3,9,25
3.1,8.5,25
3.3,8.5,28
3,7.5,27
2.7,7,22
4.1,7,24
6.9,7,20
2.3,7,12
7.6,6.5,16
7.2,7,16
7.8,6.5,10
2,6.3,11
,,
,6.5,5
,6,5
,6.5,6
5.7,6,12
,6.5,21
4,6.5,18
,6.5,25
4.6,6.5,20
,6.5,26
4.5,6.5,29
,6.5,31
4.1,6.5,28
,7,29
4.2,6.5,28
,6.5,28
4,7.5,26
,6.5,20
,6.5,14
8.2,6.5,14
,7,3
,,
,,
,,
,,5
,6.5,7
8.1,7,11
,6.5,21
4,6.5,16
,7,25
5.2,7.5,16
,7,25
4.2,7,28
,7,31
3.7,7,29
,6.5,28
3.4,7,
,8,27
3.2,9,26
,6.5,19
,7,13
4.3,8.5,16
,6.5,1
4.3,7,3
,,
,6.5,5
,6.5,5
9.5,6.5,7
,6.5,9
5.1,6.5,22
,6.5,18
4.9,6.5,24
,6.5,19
5.1,7,25
,7,29
5.2,7.5,30
,7,31
4.5,6.5,28
,7,29
2.3,7,27
,8,26
7.3,7.5,13
,8.5,15
8.8,7,2
,,
,,
9.5,6.5,5
,6,5
8.7,6.5,6
,,
6.3,6,22
,6.5,17
5,6.5,25
,6.5,19
5.2,6,25
,6.5,28
5.2,6.5,31
,8,31
6,6.5,28
,7.5,31
2.7,6.5,26
,6.5,25
5.9,6.5,19
7.2,6.5,13
,6,
10.3,6,2
,6.5,3
7,6.5,4
7,6.5,5
,6.5,4
7.7,6.5,10
7.9,6.5,10
5.9,6.5,20
6.7,6.5,16
6.5,7,23
7,6.5,17
6.8,7,25
5.4,7,28
3.6,8.5,29
3.9,7,27
5.1,7,26
3.1,8,27
3.3,7,26
5,8.5,26
3.9,7.5,19
5,7.5,12
6.7,8,15
5.7,7,4
6.7,7,
5.9,6.5,
,6.5,6
3.9,6.5,7
,7,8.5
3,6.5,14
,6,18
4,6.5,24
,7.5,24
2.4,7.5,28
,7.5,29
5.7,7.5,27
,7,27
3.2,7.5,31
,7.5,29
5,6.5,27
,5,25
4,6.5,22
,7,17
8.6,,19
,7,19
8,7,12
,7,13
7.2,6.5,5
,7,5
3.6,7,9
,7,6
3.9,7,14
,7,19
,7,23
,8.5,23
1.5,,27
,8,30
5.8,8,27
,7,28
2.4,7,30
,7.5,30
3.1,6.5,27
,7,25
3,7,22
,7.5,16
7.9,7.5,19
,7.5,14
5,7,13
,7,14
,7,4
5.1,6.5,5
,7,10
3.9,7.5,7
,,
5.6,8,19
3.6,7,23
3.7,9,23
,,
,6.5,4
10,6.5,6
,6.5,9
5,6,8
,6.5,14
6.9,6.5,19
,6.5,23
3.7,6.5,19
,7.5,28
4.8,7,29
,8,28
5.6,6.5,27
,7,31
2,7,29
,6.5,27
4.6,6.5,25
,6,23
,6,17
,6.5,17
8,,15
,6.5,12
9.8,7,16
3.1,6.5,5
6.2,7,7
3.8,6.5,8
3.7,7,8
3.3,7,33
3.5,7,16.5
5.2,7,23
4.5,7,18
3.7,7.5,25
3.2,8,27
5.6,8,26
3,8.5,26
2,9,29
3.5,9,28
5,7,26
5.3,8,24
4.2,7.5,21
7.4,7.5,16
5.2,7.5,16
7.3,7,16
7.9,7,12
